AUX_0, MAIN0_0, MAIN1_0, MAIN2_0, AUX_1, MAIN0_1, MAIN1_1, MAIN2_1, AUX_2, MAIN0_2, MAIN1_2, MAIN2_2, AUX_3, MAIN0_3, MAIN1_3, MAIN2_3, AUX_4, MAIN0_4, MAIN1_4, MAIN2_4, AUX_5, MAIN0_5, MAIN1_5, MAIN2_5, AUX_6, MAIN0_6, MAIN1_6, MAIN2_6, AUX_7, MAIN0_7, MAIN1_7, MAIN2_7, AUX_8, MAIN0_8, MAIN1_8, MAIN2_8, AUX_9, MAIN0_9, MAIN1_9, MAIN2_9, AUX_10, MAIN0_10, MAIN1_10, MAIN2_10, AUX_11, MAIN0_11, MAIN1_11, MAIN2_11, AUX_12, MAIN0_12, MAIN1_12, MAIN2_12, AUX_13, MAIN0_13, MAIN1_13, MAIN2_13, AUX_14, MAIN0_14, MAIN1_14, MAIN2_14, AUX_15, MAIN0_15, MAIN1_15, MAIN2_15
AUX_0, 3-2-T-P, 6-3-B-P, 8-1-B-P, AUX_1, 3-2-B-N, 6-3-T-N, 8-1-T-N, V_CELL_1, 3-3-T-P, 5-1-B-P, 8-2-B-P, V_MODULE, 3-3-B-N, 5-1-T-N, 8-2-T-N, CABLE_TEMP, 2-1-T-P, 5-2-B-P, 8-3-B-P, MODULE_AIR_T1, 2-1-B-N, 5-2-T-N, 8-3-T-N, MODULE_AIR_T2, 2-2-T-P, 5-3-T-N, 7-1-B-P, MODULE_AIR_T3, 2-2-B-N, 5-3-T-N, 7-1-T-N, MODULE_AIR_T4, 2-3-T-P, 4-1-T-P, 7-2-B-P, MODULE_AIR_T5, 2-3-B-N, 4-1-B-N, 7-2-T-N, MODULE_AIR_T6, 1-1-T-P, 4-2-T-P, 7-3-B-P, MODULE_AIR_T7, 1-1-B-N, 4-2-B-N, 7-3-T-N, MODULE_AIR_T8, 1-2-T-P, 4-3-T-P, 6-1-B-P, MODULE_AIR_T9, 1-2-B-N, 4-3-B-N, 6-1-T-N, EXT_TEMP_1, 1-3-T-P, 3-1-T-P, 6-2-B-P, EXT_TEMP_2, 1-3-B-N, 3-1-B-N, 6-2-T-N
629.63,28.46,31.71,28.00,-0.19,28.26,31.59,27.25,3932.25,30.15,27.68,30.07,7843.50,30.25,27.08,29.48,24.96,25.89,29.94,30.97,26.52,25.83,29.43,30.98,29.19,27.83,31.53,28.17,30.27,27.61,31.48,27.78,30.41,29.65,26.97,30.36,30.47,29.28,26.70,29.33,30.51,25.85,29.13,31.53,30.10,25.62,29.03,31.55,29.27,27.07,30.83,27.35,26.79,26.79,30.89,27.16,24.52,28.16,26.40,30.26,24.75,27.87,26.18,29.86
660.75,28.48,31.71,28.01,-0.19,28.28,31.59,27.26,3932.25,30.15,27.69,30.08,7844.25,30.25,27.10,29.49,24.96,25.93,29.95,30.97,26.60,25.87,29.44,30.98,29.20,27.86,31.53,28.18,30.28,27.62,31.48,27.78,30.41,29.66,27.00,30.36,30.48,29.29,26.73,29.33,30.52,25.87,29.15,31.53,30.10,25.63,29.04,31.55,29.27,27.09,30.83,27.37,26.82,26.80,30.89,27.18,24.53,28.17,26.43,30.27,24.74,27.88,26.22,29.86
660.38,28.50,31.71,28.01,-0.19,28.30,31.59,27.27,3932.25,30.15,27.71,30.08,7844.25,30.25,27.13,29.49,24.96,25.96,29.95,30.97,26.64,25.90,29.44,30.98,29.21,27.89,31.53,28.19,30.28,27.63,31.48,27.79,30.42,29.67,27.02,30.37,30.48,29.29,26.76,29.34,30.52,25.89,29.16,31.53,30.10,25.65,29.05,31.55,29.27,27.10,30.84,27.39,26.85,26.81,30.89,27.20,24.53,28.19,26.46,30.27,24.74,27.89,26.25,29.86
661.13,28.52,31.71,28.02,-0.19,28.32,31.58,27.29,3932.25,30.15,27.72,30.08,7844.25,30.25,27.15,29.50,24.96,25.98,29.95,30.97,26.66,25.93,29.44,30.98,29.22,27.91,31.53,28.20,30.29,27.64,31.48,27.80,30.42,29.68,27.05,30.37,30.48,29.29,26.79,29.34,30.52,25.90,29.16,31.53,30.11,25.66,29.06,31.55,29.28,27.12,30.84,27.41,26.85,26.82,30.89,27.22,24.54,28.21,26.49,30.27,24.73,27.91,26.27,29.86
661.13,28.53,31.71,28.02,-0.19,28.34,31.58,27.30,3932.62,30.15,27.73,30.08,7844.25,30.25,27.18,29.50,24.96,26.01,29.95,30.97,26.68,25.96,29.45,30.98,29.23,27.93,31.53,28.21,30.29,27.65,31.47,27.80,30.42,29.69,27.07,30.37,30.49,29.30,26.81,29.34,30.52,25.92,29.17,31.53,30.11,25.67,29.07,31.55,29.28,27.13,30.84,27.42,26.83,26.82,30.89,27.24,24.54,28.22,26.51,30.27,24.73,27.92,26.30,29.86
660.38,28.54,31.71,28.02,-0.19,28.35,31.58,27.32,3932.62,30.15,27.74,30.08,7844.25,30.25,27.20,29.50,24.96,26.03,29.96,30.97,26.75,25.99,29.45,30.98,29.24,27.94,31.53,28.21,30.29,27.65,31.48,27.81,30.42,29.69,27.09,30.37,30.49,29.31,26.83,29.34,30.53,25.93,29.18,31.53,30.11,25.68,29.08,31.55,29.28,27.14,30.84,27.44,26.83,26.83,30.89,27.26,24.54,28.23,26.53,30.27,24.72,27.92,26.32,29.86
660.38,28.55,31.71,28.03,-0.19,28.36,31.58,27.33,3932.62,30.15,27.75,30.08,7844.25,30.25,27.22,29.50,24.95,26.05,29.96,30.97,26.77,26.01,29.45,30.98,29.25,27.96,31.53,28.22,30.29,27.66,31.47,27.81,30.42,29.69,27.10,30.37,30.49,29.31,26.85,29.34,30.53,25.94,29.19,31.53,30.11,25.70,29.08,31.55,29.28,27.14,30.84,27.45,26.85,26.84,30.89,27.27,24.55,28.24,26.55,30.27,24.72,27.93,26.34,29.86
660.38,28.56,31.71,28.03,-0.19,28.37,31.58,27.34,3932.62,30.15,27.76,30.08,7845.00,30.25,27.24,29.50,24.95,26.06,29.96,30.97,26.77,26.03,29.45,30.98,29.25,27.97,31.53,28.22,30.29,27.67,31.47,27.82,30.42,29.70,27.12,30.37,30.49,29.31,26.86,29.35,30.53,25.95,29.19,31.53,30.11,25.70,29.08,31.55,29.29,27.15,30.84,27.46,26.86,26.84,30.89,27.29,24.55,28.25,26.56,30.27,24.71,27.94,26.36,29.86
660.56,28.57,31.71,28.03,-0.19,28.39,31.58,27.34,3932.62,30.15,27.77,30.08,7844.25,30.25,27.26,29.50,24.94,26.08,29.96,30.97,26.80,26.05,29.46,30.98,29.26,27.98,31.53,28.22,30.29,27.67,31.47,27.82,30.42,29.70,27.14,30.37,30.49,29.31,26.88,29.35,30.53,25.96,29.19,31.53,30.11,25.71,29.09,31.54,29.29,27.16,30.84,27.47,26.88,26.85,30.88,27.30,24.55,28.26,26.58,30.27,24.71,27.94,26.38,29.86
